lat;lon;cidade;estado;endereco
-22.91658925;-43.36172654;RIO DE JANEIRO;RJ;AV. GEREMARIO DANTAS
-22.91662308;-43.22256649;RIO DE JANEIRO;RJ;R. MARIZ E BARROS
-22.88269053;-43.34073801;RIO DE JANEIRO;RJ;R. ERNANI CARDOSO
-22.903345;-43.25458;RIO DE JANEIRO;RJ;AV. MAL, RONDON
-22.88354205;-43.3203182;RIO DE JANEIRO;RJ;AV. D, HELDER CAMARA
-22.90743771;-43.30767846;RIO DE JANEIRO;RJ;LN, AMARELA
-22.907767702235;-43.2367888193384;RIO DE JANEIRO;RJ;R. VISC, DE NITEROI
-22.92022067;-43.23145389;RIO DE JANEIRO;RJ;R. BARAO DE MESQUITA
-22.89096366;-43.66751461;RIO DE JANEIRO;RJ;AV. BRASIL
-22.907975;-43.270025;RIO DE JANEIRO;RJ;R. BARAO DO BOM RETIRO
-22.92179;-43.23145829;RIO DE JANEIRO;RJ;R. SANTA SOFIA
-22.90894297;-43.20409032;RIO DE JANEIRO;RJ;AV. PRES, VARGAS
-22.9218386065401;-43.214406879573;RIO DE JANEIRO;RJ;R. BARAO ITAPAGIPE
-22.89388197;-43.23943424;RIO DE JANEIRO;RJ;R. SAO LUIS GONZAGA
-22.96020261;-43.39107321;RIO DE JANEIRO;RJ;ESTR. DOS BANDEIRANTES
-22.9218418190159;-43.2148112483337;RIO DE JANEIRO;RJ;R. BARAO DE ITAPAGIPE
-22.9220918;-43.2305171;RIO DE JANEIRO;RJ;R. ALMIRANTE CHROCRANE
-22.9271425;-43.35576856;RIO DE JANEIRO;RJ;AV. GEREMARIO DANTAS
-22.92787708;-43.35573966;RIO DE JANEIRO;RJ;AV. GEREMARIO DANTAS
-22.92754722;-43.23924416;RIO DE JANEIRO;RJ;AV. MARACANA
-22.92817888;-43.3355603;RIO DE JANEIRO;RJ;ESTR. DO PAU FERRO
-22.93237687;-43.24106116;RIO DE JANEIRO;RJ;R. CDE, DE BONFIM
-22.94146003;-43.34113616;RIO DE JANEIRO;RJ;R. TIROL
-22.95367793;-43.34775543;RIO DE JANEIRO;RJ;AV. TEN, CEL, TEN-CEL, MUNIZ DE ARAGAO
-16.727116;-43.881562;MONTES CLAROS;MG;AV., JOSE CORREA MACHADO - ENTRADA DO SHOPPING IBITURUNA
-16.7055295;-43.8369933;MONTES CLAROS;MG;AV. GOVERNADOR MAGALHAES PINTO, MONTES CLAROS - FTE SUPERMERCADO BH
-20.78597655;-51.70153199;TR S LAGOAS;MS;AV. DR. ELOY CHAV.ES
-20.78652498;-51.6993967;TR S LAGOAS;MS;R. DQ, DE CAXIAS
-20.78963872;-51.71379858;TR S LAGOAS;MS;AV. DR. CLODOALDO GARCIA
-20.7937;-51.693015;TR S LAGOAS;MS;AV. CAP, OLINTO MANCINI
-20.79609684;-51.70114111;TR S LAGOAS;MS;AV. ROSARIO CONGRO
-20.7972568062678;-51.6865690963884;TR S LAGOAS;MS;AV. CAP, OLINTO MANCINI
-20.7987864;-51.69631279;TR S LAGOAS;MS;AV. ROSARIO CONGRO
-20.8047232274498;-51.6872582197514;TR S LAGOAS;MS;AV. RANULPHO MARQUES LEAL
-2.447974999;-54.75185;SANTAREM;PA;AV. ENG, FERNANDO GUILHON
-4.454641941;-43.88279388;CODO;MA;R. AFONSO PENA
-9.92413727;-63.02268717;ARIQUEMES;RO;AV. JAMARI
-15.574845;-56.07352;CUIAB¡;MT;AV. HISTO, RUBENS DE MENDONCA
-15.5774050034955;-56.0341638900702;CUIAB¡;MT;AV. BRASILIA
-15.5791840353232;-56.0977096162193;CUIAB¡;MT;PRACA, REPUBLICA DO CHILE
